id,taxonName
Q1268240,Talegalla fuscirostris
Q1265587,Cyrtonyx ocellatus
Q1093509,Cyrtonyx montezumae
Q26820906,Cyrtonyx sallei
Q205930,Lagopus muta
Q178702,Lagopus lagopus
Q22102552,Gastornis gigantea
Q19055,Lagopus leucura
Q510996,Odontophorus capueira
Q875936,Odontophorus balliviani
Q959798,Scleroptila streptophora
Q1266344,Odontophorus guttatus
Q1259880,Odontophorus erythrops
Q1260930,Odontophorus melanotis
Q1270476,Odontophorus speciosus
Q1272411,Francolinus levalliantoides
Q1262817,Talegalla jobiensis
Q1269538,Odontophorus hyperythrus
Q25270207,Scleroptila levaillantoides
Q742535,Odontophorus melanonotus
Q1274605,Scleroptila shelleyi
Q929945,Odontophorus gujanensis
Q1258916,Odontophorus atrifrons
Q1193048,Odontophorus strophium
Q1266800,Odontophorus stellatus
Q1268473,Scleroptila psilolaema
Q1063989,Talegalla cuvieri
Q1260750,Scleroptila levaillantii
Q1263378,Odontophorus leucolaemus
Q1268703,Odontophorus columbianus
Q1273779,Scleroptila africanus
Q3117581,Rhizothera dulitensis
Q1262276,Aepypodius bruijnii
Q795498,Eulipoa wallacei
Q1262423,Ptilopachus petrosus
Q1266053,Aepypodius arfakianus
Q944945,Pipile jacutinga
Q1082395,Pipile cujubi
Q212526,Pipile pipile
Q546348,Pipile cumanensis
Q19551,Tympanuchus pallidicinctus
Q664438,Rhizothera longirostris
Q55110848,Pipile grayi
Q19630,Tympanuchus cupido
Q27074559,Scleroptila afra
Q19068,Tympanuchus phasianellus
Q1045174,Falcipennis falcipennis
Q27074553,Ptilopachus nahani
Q182761,Tetrastes bonasia
Q687020,Penelope albipennis
Q1264455,Tetrastes sewerzowi
Q1265911,Heliodoxa jacula
Q1268985,Dendrortyx leucophrys
Q830385,Callipepla californica
Q142651,Colinus virginianus
Q1270743,Penelope superciliaris
Q786840,Callipepla squamata
Q543345,Dendragapus obscurus
Q854855,Guttera pucherani
Q1078237,Penelope jacucaca
Q1264029,Dendrortyx barbatus
Q1268606,Heliodoxa leadbeateri
Q961494,Colinus cristatus
Q1007906,Callipepla gambelii
Q27074577,Pternistis ochropectus
Q848140,Penelope purpurascens
Q1267836,Penelope obscura
Q262180,Colinus nigrogularis
Q281002,Heliodoxa rubinoides
Q513226,Heliodoxa imperatrix
Q909402,Callipepla douglasii
Q948701,Penelope jacquacu
Q1259911,Penelope dabbenei
Q1265902,Dendragapus fuliginosus
Q1268396,Penelope marail
Q1079723,Penelope montagnii
Q27074579,Pternistis capensis
Q31873667,Guttera edouardi
Q1187277,Heliodoxa xanthogonys
Q1259727,Penelope pileata
Q1261008,Heliodoxa schreibersii
Q1261205,Penelope perspicax
Q1261802,Heliodoxa gularis
Q1273741,Penelope ortoni
Q27074564,Dendroperdix sephaena
Q1269019,Dendrortyx macroura
Q1035118,Heliodoxa aurescens
Q1264398,Penelope barbata
Q1944830,Colinus leucopogon
Q27074582,Pternistis afer
Q256552,Penelope ochrogaster
Q516052,Penelope argyrotis
Q425828,Guttera plumifera
Q1264380,Heliodoxa branickii
Q41011858,Penelope bridgesi
Q283461,Opisthoprora euryptera
Q286887,Leucochloris albicollis
Q518531,Anopetia gounellei
Q544000,Loddigesia mirabilis
Q665803,Melanoperdix niger
Q772052,Anthocephala floriceps
Q774363,Heliactin bilophus
Q946856,Lafresnaya lafresnayi
Q31774,Aphantochroa cirrochloris
Q657365,Eulidia yarrellii
Q254636,Pavo muticus
Q431885,Caloperdix oculeus
Q594810,Oreortyx pictus
Q31774,Eupetomena cirrochloris
Q1028657,Avocettula recurvirostris
Q1189991,Eugenes fulgens
Q1189999,Hylonympha macrocerca
Q775398,Chrysuronia oenone
Q143941,Androdon aequatorialis
Q684679,Orthorhyncus cristatus
Q787047,Icteria virens
Q836291,Macrocephalon maleo
Q868051,Clytolaema rubricauda
Q906894,Eupetomena macroura
Q1041419,Cyanophaia bicolor
Q390270,Acryllium vulturinum
Q604442,Haematortyx sanguiniceps
Q678454,Myrmia micrura
Q852146,Ophrysia superciliosa
Q2100563,Graueria vittata
Q37312414,Bonasa bonasia
Q249947,Lamprolaima rhami
Q286615,Oreonympha nobilis
Q632066,Alectura lathami
Q21197421,Eugenes spectabilis
Q967158,Dactylortyx thoracicus
Q19058,Bonasa umbellus
Q524681,Microchera albocoronata
Q901228,Leipoa ocellata
Q937910,Microstilbon burmeisteri
Q1080335,Klais guimeti
Q20020647,Anthocephala berlepschi
Q61865,Pavo cristatus
Q248520,Taoniscus nanus
Q368609,Sternoclyta cyanopectus
Q836998,Ramphodon naevius
Q251842,Numida meleagris
Q503619,Adelomyia melanogenys
Q669331,Schistes geoffroyi
Q899828,Oreopyra hemileucus
